Team,Year,RS,RA,W,OBP,SLG,BA
ANA,2002,851,644,99,0.341,0.433,0.282
ARI,2002,819,674,98,0.346,0.423,0.267
ATL,2002,708,565,101,0.331,0.409,0.26
BAL,2002,667,773,67,0.309,0.403,0.246
BOS,2002,859,665,93,0.345,0.444,0.277
CHC,2002,706,759,67,0.321,0.413,0.246
CHW,2002,856,798,81,0.338,0.449,0.268
CIN,2002,709,774,78,0.33,0.408,0.253
CLE,2002,739,837,74,0.321,0.412,0.249
COL,2002,778,898,73,0.337,0.423,0.274
DET,2002,575,864,55,0.3,0.379,0.248
FLA,2002,699,763,79,0.337,0.403,0.261
HOU,2002,749,695,84,0.338,0.417,0.262
KCR,2002,737,891,62,0.323,0.398,0.256
LAD,2002,713,643,92,0.32,0.409,0.264
MIL,2002,627,821,56,0.32,0.39,0.253
MIN,2002,768,712,94,0.332,0.437,0.272
MON,2002,735,718,83,0.334,0.418,0.261
NYM,2002,690,703,75,0.322,0.395,0.256
NYY,2002,897,697,103,0.354,0.455,0.275
OAK,2002,800,654,103,0.339,0.432,0.261
PHI,2002,710,724,80,0.339,0.422,0.259
PIT,2002,641,730,72,0.319,0.381,0.244
SDP,2002,662,815,66,0.321,0.381,0.253
SEA,2002,814,699,93,0.35,0.419,0.275
SFG,2002,783,616,95,0.344,0.442,0.267
STL,2002,787,648,97,0.338,0.425,0.268
TBD,2002,673,918,55,0.314,0.39,0.253
TEX,2002,843,882,72,0.338,0.455,0.269
TOR,2002,813,828,78,0.327,0.43,0.261
ANA,2001,691,730,75,0.327,0.405,0.261
ARI,2001,818,677,92,0.341,0.442,0.267
ATL,2001,729,643,88,0.324,0.412,0.26
BAL,2001,687,829,63,0.319,0.38,0.248
BOS,2001,772,745,82,0.334,0.439,0.266
CHC,2001,777,701,88,0.336,0.43,0.261
CHW,2001,798,795,83,0.334,0.451,0.268
CIN,2001,735,850,66,0.324,0.419,0.262
CLE,2001,897,821,91,0.35,0.458,0.278
COL,2001,923,906,73,0.354,0.483,0.292
DET,2001,724,876,66,0.32,0.409,0.26
FLA,2001,742,744,76,0.326,0.423,0.264
HOU,2001,847,769,93,0.347,0.451,0.271
KCR,2001,729,858,65,0.318,0.409,0.266
LAD,2001,758,744,86,0.323,0.425,0.255
MIL,2001,740,806,68,0.319,0.426,0.251
MIN,2001,771,766,85,0.337,0.433,0.272
MON,2001,670,812,68,0.319,0.396,0.253
NYM,2001,642,713,82,0.323,0.387,0.249
NYY,2001,804,713,95,0.334,0.435,0.267
OAK,2001,884,645,102,0.345,0.439,0.264
PHI,2001,746,719,86,0.329,0.414,0.26
PIT,2001,657,858,62,0.313,0.393,0.247
SDP,2001,789,812,79,0.336,0.399,0.252
SEA,2001,927,627,116,0.36,0.445,0.288
SFG,2001,799,748,90,0.342,0.46,0.266
STL,2001,814,684,93,0.339,0.441,0.27
TBD,2001,672,887,62,0.32,0.388,0.258
TEX,2001,890,968,73,0.344,0.471,0.275
TOR,2001,767,753,80,0.325,0.43,0.263
ANA,2000,864,869,82,0.352,0.472,0.28
ARI,2000,792,754,85,0.333,0.429,0.265
ATL,2000,810,714,95,0.346,0.429,0.271
BAL,2000,794,913,74,0.341,0.435,0.272
BOS,2000,792,745,85,0.341,0.423,0.267
CHC,2000,764,904,65,0.335,0.411,0.256
CHW,2000,978,839,95,0.356,0.47,0.286
CIN,2000,825,765,85,0.343,0.447,0.274
CLE,2000,950,816,90,0.367,0.47,0.288
COL,2000,968,897,82,0.362,0.455,0.294
